nomcentre,adressa,poblacio,tf,correu,titularitat,comarca,lat,lon
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Eixample,"Carrer Mallorca, 219, 3a, 8008, Barcelona",Barcelona,932562819,piad_eixample@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.39129,2.15878
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Gràcia,"Plaça Vila de Gràcia, 2, 8012, Barcelona",Barcelona,932914330,piad_gracia@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.39993,2.15791
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Horta-Guinardó,"Carrer Arenys, 75, 8035, Barcelona",Barcelona,934200008,piad_horta@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.42253,2.14464
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Nou Barris,"Plaça Major de Nou Barris, 1, 8042, Barcelona",Barcelona,932916867,piad_noubarris@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.43692,2.1712
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Andreu,"Carrer Foradada, 36, 8033, Barcelona",Barcelona,933457016,piad_santandreu@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.45162,2.19119
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sant Martí,"Gran Via Corts Catalanes, 837, 8018, Barcelona",Barcelona,933077260,piad_santmarti@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.40523,2.18821
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sants-Montjuïc,"Carrer de Sants, 79 - 81, 8014, Barcelona",Barcelona,932918731,piad_santsmontjuic@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.37527,2.13689
Servei d'informació i atenció a les dones (SIAD) de Barcelona - Sarrià-Sant Gervasi,"Carrer Brusi, 51-61, 8006, Barcelona",Barcelona,932002602,piad_sarriasantgervasi@bcn.cat,Ajuntament de Barcelona,Barcelonès,41.40188,2.14451
Servei d'informació i atenció a les dones (SIAD) de Berga,"Carrer Voltes de Claris, 12, 8600, Berga",Berga,938215331,puntdona@ajberga.cat,Ajuntament de Berga,Berguedà,42.10439,1.84699
Servei d'informació i atenció a les dones (SIAD) de Blanes,"Plaça d'Argentina, 5, 17300, Blanes",Blanes,972336207,adones@blanes.cat,Ajuntament de Blanes,Selva,41.66767,2.78433
Servei d'informació i atenció a les dones (SIAD) de Calafell,"Carrer Lluís Companys, 57, baixos, 43820, Calafell",Calafell,977699009,siad@calafell.org,Ajuntament de Calafell,Baix Penedès,41.19219,1.60666
Servei d'informació i atenció a les dones (SIAD) de Cambrils,"Plaça de l'Ajuntament, 4, 43850, Cambrils",Cambrils,977794579 ext. 4311/2226,siad@cambrils.org,Ajuntament de Cambrils,Baix Camp,41.07132,1.05809
Servei d'informació i atenció a les dones (SIAD) de Castellar del Vallès,"Plaça Major, s/n (Edifici Mirador), 8211, Castellar del Vallès",Castellar del Vallès,937144040,eminguell@castellarvalles.cat,Ajuntament de Castellar del Vallès,Vallès Occidental,41.61636,2.08624
Servei d'informació i atenció a les dones (SIAD) de Castelldefels,"Carrer Església, 117 baixos, 8860, Castelldefels",Castelldefels,936651150 ext. 504,igualtat@castelldefels.org,Ajuntament de Castelldefels,Baix Llobregat,41.28762,1.98504
Servei d'informació i atenció a les dones (SIAD) de Cerdanyola del Vallès,"Carrer Belles Arts, 19, 8290, Cerdanyola del Vallès",Cerdanyola del Vallès,935921647,dones@cerdanyola.cat,Ajuntament de Cerdanyola del Vallès,Vallès Occidental,41.48765,2.13778
Servei d'informació i atenció a les dones (SIAD) de Cervelló,"Plaça del Mestre, 5, B, 8758, Cervelló",Cervelló,936841981,cird.donescervello@hotmail.es,Ajuntament de Cervelló,Baix Llobregat,41.39736,1.95902
Servei d'informació i atenció a les dones (SIAD) de Corbera de Llobregat,"Plaça Sant Antoni, s/n (Àrea d'Igualtat de l'Ajuntament ), 8757, Corbera de Llobregat",Corbera de Llobregat,935175878,conselldones@elbaixllobregat.cat,Ajuntament de Corbera de Llobregat,Baix Llobregat,41.41465,1.93004
Servei d'informació i atenció a les dones (SIAD) de Cornellà de Llobregat,"Carrer Mn. Jacint Verdaguer, 16-18, 8940, Cornellà de Llobregat",Cornellà de Llobregat,934742841,ladona@aj-cornella.cat,Ajuntament de Cornellà de Llobregat,Baix Llobregat,41.35421,2.07088
Servei d'informació i atenció a les dones (SIAD) de Figueres,"Carrer Poeta Marquina, 2 (Edifici de l'Antic Registre), 17600, Figueres",Figueres,972513808,siad@figueres.org,Ajuntament de Figueres,Alt Empordà,42.26605,2.95641
Servei d'informació i atenció a les dones (SIAD) de Gavà,"Carrer Generalitat, 7, 8850, Gavà",Gavà,932639222,siad@gava.cat,Ajuntament de Gavà,Baix Llobregat,41.30328,2.00458
Servei d'informació i atenció a les dones (SIAD) de Girona,"Carrer Joan Reglà, 16, baixos, 17003, Girona",Girona,972222478,siad@ajgirona.org,Ajuntament de Girona,Gironès,41.97125,2.8229
Servei d'informació i atenció a les dones (SIAD) de Granollers,"Carrer Portalet, 4, 4a planta, 8401, Granollers",Granollers,938426714,plaigualtat@ajuntament.granollers.cat,Ajuntament de Granollers,Vallès Oriental,41.60757,2.28746
Servei d'informació i atenció a les dones (SIAD) de L'Hospitalet de Llobregat,"Plaça Can Colom, 1, 8902, L'Hospitalet de Llobregat",L'Hospitalet de Llobregat,934036270,caid@l-h.cat,Ajuntament de L'Hospitalet de Llobregat,Barcelonès,41.36947,2.12043
Servei d'informació i atenció a les dones (SIAD) la Canonja,"Carrr Raval, 8, 43110, La Canonja",La Canonja,977546100,ssocials@lacanonja.cat,Ajuntament de La Canonja,Tarragonès,41.122791,1.178948
Servei d'informació i atenció a les dones (SIAD) de la Llagosta,"Carrer Jaume I, 9 (Centre Cultural i Juvenil Can Pelegrí), 8120, la Llagosta",la Llagosta,935451540,igualtat@llagosta.cat,Ajuntament de la Llagosta,Vallès Oriental,41.5126,2.1914
Servei d'informació i atenció a les dones (SIAD) de les Franqueses del Vallès,"Carrer Aragó, 24, 8520, les Franqueses del Vallès",les Franqueses del Vallès,938465862,marta.fuertes@lesfranqueses.cat,Ajuntament de les Franqueses del Vallès,Vallès Oriental,41.618,2.29483
Servei d'informació i atenció a les dones (SIAD) de Lleida,"Plaça dels Fanalets de Sant Jaume, s/n, 25002, Lleida",Lleida,973700461,politiquesigualtat@paeria.cat,Ajuntament de Lleida,Segrià,41.61399,0.62376
Servei d'informació i atenció a les dones (SIAD) de Lliça d'Amunt,"Carrer Rafael de Casanova, 8, 1r, 8186, Lliça d'Amunt",Lliça d'Amunt,938607220,lemapd@llicamunt.cat,Ajuntament de Lliça d'Amunt,Vallès Oriental,41.60746,2.24022
Servei d'informació i atenció a les dones (SIAD) de Llinars del Vallès,"Carrer Mas Bagà, 24, 8450, Llinars del Vallès",Llinars del Vallès,938413842,puntdona@llinarsdelvalles.cat,Ajuntament de Llinars del Vallès,Vallès Oriental,41.64018,2.40511
Servei d'informació i atenció a les dones (SIAD) de Lloret de Mar,"Plaça Pere Torrent, s/n, 17310, Lloret de Mar",Lloret de Mar,972347172,dones@lloret.cat,Ajuntament de Lloret de Mar,Selva,192883,42.43243
Servei d'informació i atenció a les dones (SIAD) de Manlleu,"Carrer Enric Delaris, 7, 8560, Manlleu",Manlleu,938510848,siad@manlleu.cat,Ajuntament de Manlleu,Osona,42.00014,2.28332
Servei d'informació i atenció a les dones (SIAD) de Manresa,"Carrer de la Canal, 6, 1r, 8241, Manresa",Manresa,938752310,siad@ajmanresa.cat,Ajuntament de Manresa,Bages,41.72423,1.82557
Servei d'informació i atenció a les dones (SIAD) de Martorell,"Carrer Francesc Santacana, 13 (Casa de Cultura de la Vila), 8760, Martorell",Martorell,937735193,serveissocials@martorell.cat,Ajuntament de Martorell,Baix Llobregat,41.47431,1.92841
Servei d'informació i atenció a les dones (SIAD) de Martorelles,"Carrer de l'Església, 1, baixos, 8107, Martorelles",Martorelles,935701252,serveissocials@martorelles.cat,Ajuntament de Martorelles,Vallès Oriental,41.64018,2.40511
Servei d'informació i atenció a les dones (SIAD) de Matadepera,"Plaça de l'Ajuntament, 2, 8230, Matadepera",Matadepera,937301771,benestarsocial@matadepera.cat,Ajuntament de Matadepera,Vallès Occidental,41.59715,2.026
Servei d'informació i atenció a les dones (SIAD) de Mataró,"Carrer Tres Roques, 21, 8304, Mataró",Mataró,937022812,dona@ajmataro.cat,Ajuntament de Mataró,Maresme,41.54332,2.42807
Servei d'informació i atenció a les dones (SIAD) de Molins de Rei,"Carrer Verdaguer, 95, bis (Ca n'Ametller), 8750, Molins de Rei",Molins de Rei,936803731,eplu@molinsderei.cat,Ajuntament de Molins de Rei,Baix Llobregat,41.41518,2.01577
Servei d'informació i atenció a les dones (SIAD) de Mollet del Vallès,"Carrer Àngel Guimerà, 15, 8100, Mollet del Vallès",Mollet del Vallès,935707747,SIAD@molletvalles.cat,Ajuntament de Mollet del Vallès,Vallès Oriental,41.53504,2.21542
Servei d'informació i atenció a les dones (SIAD) de Montcada i Reixac,"Carrer Major, 32 MIR (Casa de la Vila), 8110, Montcada i Reixac",Montcada i Reixac,935651122,oficinadona@montcada.org,Ajuntament de Montcada i Reixac,Vallès Occidental,41.48558,2.18792
Servei d'informació i atenció a les dones (SIAD) de Montornès del Vallès,"Carrer Hermanas de la Virgen Niña, 2, 8170, Montornès del Vallès",Montornès del Vallès,935688127,igualtat@montornes.cat,Ajuntament de Montornès del vallès,Vallès Oriental,41.55315,2.26548
Servei d'informació i atenció a les dones (SIAD) de Palafrugell,"Carrer Pals, 77, 17200, Palafrugell",Palafrugell,972611879,espaidona@palafrugell.net,Ajuntament de Palafrugell,Baix Empordà,41.92097,3.16241
Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar,"Carrer Barcelona, 33-35, entresòl, 8397, Pineda de Mar",Pineda de Mar,937671843,cvalbonesi@pinedademar.org,Ajuntament de Pineda de Mar,Maresme,41.624,2.68823
Servei d'informació i atenció a les dones (SIAD) de Premià de Mar,"Carrer Joan XXIII, 2-8 (antiga Fàbrica del Gas), 8330, Premià de Mar",Premià de Mar,937417404,servaispe@premiademar.cat,Ajuntament de Premià de Mar,Maresme,41.48842,2.35276
Servei d'informació i atenció a les dones (SIAD) de Reus,"Plaça de la Patacada, 9, 43201, Reus",Reus,977010672,siad@reus.cat,Ajuntament de Reus,Baix Camp,41.1545,1.10501
Servei d'informació i atenció a les dones (SIAD) de Ripollet,"Carrer Balmes, 2, planta baixa, 8291, Ripollet",Ripollet,935046040,siad@ripollet.cat,Ajuntament de Ripollet,Vallès Occidental,41.49649,2.15347
Servei d'informació i atenció a les dones (SIAD) de Roses,"Plaça de l'Àngel, 4, 17480, Roses",Roses,972252400,benestar@roses.cat,Ajuntament de Roses,Alt Empordà,42.26318,3.17819
Servei d'informació i atenció a les dones (SIAD) de Rubí,"Rambleta Joan Miró, s/n, 8191, Rubí",Rubí,935813900,dona@ajrubi.es,Ajuntament de Rubí,Vallès Occidental,41.48573,2.03048
Servei d'informació i atenció a les dones (SIAD) de Sabadell,"Carrer Vidal, 146, 8208, Sabadell",Sabadell,937246167,genere@ajsabadell.cat,Ajuntament de Sabadell,Vallès Occidental,41.55398,2.11259
Servei d'informació i atenció a les dones (SIAD) de Salou,"Carrer de l'Ebre, 11, 43840, Salou",Salou,977309206,siadones@salou.cat,Ajuntament de Salou,Tarragonès,41.08105,1.13316
Servei d'informació i atenció a les dones (SIAD) de Sant Adrià del Besòs,"Carrer Escoles, 10, baixos, 8930, Sant Adrià de Besòs",Sant Adrià de Besòs,934621121,ciod@sant-adria.net,Ajuntament de Sant Adrià del Besòs,Barcelonès,41.42998,2.22098
Servei d'informació i atenció a les dones (SIAD) de Sant Andreu de la Barca,"Plaça de l'Ajuntament, 1, 2a planta, 8740, Sant Andreu de la Barca",Sant Andreu de la Barca,936356402,siad@sabarca.cat,Ajuntament de Sant Andreu de la Barca,Baix Llobregat,41.45004,1.9712
Servei d'informació i atenció a les dones (SIAD) de Sant Boi de Llobregat,"Carrer Ebre, 27 (Can Jordana), 8830, Sant Boi de Llobregat",Sant Boi de Llobregat,936351200,crdones@santboi.cat,Ajuntament de Sant Boi de Llobregat,Baix Llobregat,41.348,2.0383
Servei d'informació i atenció a les dones (SIAD) de Sant Celoni,"Carrer Josep Alfaràs, 6, 8470, Sant Celoni",Sant Celoni,938641210,igualtat@santceloni.cat,Ajuntament de Sant Celoni,Vallès Oriental,41.69144,2.49493
Servei d'informació i atenció a les dones (SIAD) de Sant Cugat del Vallès,"Avinguda de Gràcia, 59 (Casa Mònaco), 8172, Sant Cugat del Vallès",Sant Cugat del Vallès,935657000,donainformacio@santcugat.cat,Ajuntament de Sant Cugat del Vallès,Vallès Occidental,41.46468,2.086
Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Guíxols,"Plaça Salvador Espriu, s/n, 17220, Sant Feliu de Guíxols",Sant Feliu de Guíxols,972820101,igualtat@guixols.cat,Ajuntament de Sant Feliu de Guíxols,Baix Empordà,41.7921,3.02467
Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Llobregat,"Plaça Lluís Companys, 1, 8980, Sant Feliu de Llobregat",Sant Feliu de Llobregat,936858002,castellotecr@santfeliu.cat,Ajuntament de Sant Feliu de Llobregat,Baix Llobregat,41.37066,2.05612
Servei d'informació i atenció a les dones (SIAD) de Sant Joan Despí,"Avinguda Barcelona, 41, 8970, Sant Joan Despí",Sant Joan Despí,934770051,donesdespi@sjdespi.net,Ajuntament de Sant Joan Despí,Baix Llobregat,41.36841,2.06304
Servei d'informació i atenció a les dones (SIAD) de Sant Pere de Ribes,"Plaça de la Vinya d'en Petaca, s/n. Ajuntament de Les Roquetes, 8812, Les Roquetes. Sant Pere de Ribes",Les Roquetes. Sant Pere de Ribes,938109268,siad@santperederibes.cat,Ajuntament de Sant Pere de Ribes,Garraf,41.2266,1.74818
Servei d'informació i atenció a les dones (SIAD) de Sant Quirze del Vallès,"Avinguda del Vallès 97-99 baixos (Edifici Can Tuset), 8192, Sant Quirze del Vallès",Sant Quirze del Vallès,937216800,sumemxlaigualtat@santquirzevalles.cat,Ajuntament de Sant Quirze del Vallès,Vallès Occidental,41.54305,2.03938
Servei d'informació i atenció a les dones (SIAD) de Sant Sadurní d'Anoia,"Plaça Germans Segura Viudas, s/n (Centre Vilarnau), 8770, Sant Sadurní d'Anoia",Sant Sadurní d'Anoia,938914309,centrevilarnau@santsadurni.cat,Ajuntament de Sant Sadurní d'Anoia,Alt Penedès,41.42744,1.79219
Servei d'informació i atenció a les dones (SIAD) de Sant Vicenç dels Horts,"Carrer Claverol, 6-8, 1a planta (Edifici de la Foneria), 8620, Sant Vicenç dels Horts",Sant Vicenç dels Horts,936029216,igualtat@svh.cat,Ajuntament de Sant Vicenç dels Horts,Baix Llobregat,41.38807,2.00797
Servei d'informació i atenció a les dones (SIAD) de Santa Coloma de Gramenet,"Plaça Montserrat Roig, 1, 8921, Santa Coloma de Gramenet",Santa Coloma de Gramenet,934661411,bellvehiog@gramenet.cat,Ajuntament de Santa Coloma de Gramenet,Barcelonès,41.45377,2.2055
Servei d'informació i atenció a les dones (SIAD) de Santa Cristina d'Aro,"Passatge Pompeu Fabra, 2, 17246, Santa Cristina d'Aro",Santa Cristina d'Aro,972837391,igualtat@santacristina.net,Ajuntament de Santa Cristina d'Aro,Baix Empordà,41.79001,3.02541
Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda,"Plaça Can Folguera, s/n, 8130, Santa Perpètua de Mogoda",Santa Perpètua de Mogoda,935604205,rodriguezra@staperpetua.cat,Ajuntament de Santa Perpètua de la Mogoda,Vallès Occidental,41.53231,2.18532
Servei d'informació i atenció a les dones (SIAD) de Sitges,"Carrer Joan Maragall, 36 (Edifici Escorxador), 8870, Sitges",Sitges,938113180,igualtat@sitges,Ajuntament de Sitges,Garraf,41.2373,1.81566
Servei d'informació i atenció a les dones (SIAD) de Sort,"Carrer del doctor Carles Pol i Aleu, 5, 25560, Sort",Sort,973620999,casaxorret@sort.cat,Ajuntament de Sort,Pallars Sobirà,42.41256,1.13153
Servei d'informació i atenció a les dones (SIAD) de Tarragona,"Plaça de la Font , 1, 43003, Tarragona",Tarragona,977296279,siad@tarragona.cat,Ajuntament de Tarragona,Tarragonès,41.11436,1.25578
Servei d'informació i atenció a les dones (SIAD) de Terrassa,"Carrer Nou de Sant Pere, 36, 8221, Terrassa",Terrassa,937397408,polgenere@terrassa.cat,Ajuntament de Terrassa,Vallès Occidental,41.56537,2.01374
Servei d'informació i atenció a les dones (SIAD) de Torredembarra,"Carrer Muralla, 16, baixos, 43830, Torredembarra",Torredembarra,977640025,siad@torredembarra.cat,Ajuntament de Torredembarra,Tarragonès,41.1444,1.3963
Servei d'informació i atenció a les dones (SIAD) de Tortosa,"Plaça dels Dolors, 1, 43500, Tortosa",Tortosa,977445897,siad.coordinacio@tortosa.cat,Ajuntament de Tortosa,Baix Ebre,40.81321,0.52362
Servei d'informació i atenció a les dones (SIAD) de Tremp,"Plaça de la Creu, 1, 25620, Tremp",Tremp,973650005,benestar@ajuntamentdetremp.cat,Ajuntament de Tremp,Pallars Jussà,42.16671,0.89579
Servei d'informació i atenció a les dones (SIAD) de Valls,"Muralla del Carme, 24, baixos, 43800, Valls",Valls,977608225,pad@valls.cat,Ajuntament de Valls,Alt Camp,41.2828,1.24858
Servei d'informació i atenció a les dones SIAD vicDones - SIAD Osona,"Carrer Llotja, 1, 2n (Edifici del Sucre), 8500, Vic",Vic,937027284,vicdones-siadosona@vic.cat,Ajuntament de Vic/Consell Comarcal d'Osona,Osona,41.92758,2.24683
Servei d'informació i atenció a les dones (SIAD) de Viladecans,"Avinguda del Mil·lenari, 18, 8840, Viladecans",Viladecans,936373322,siad@viladecans.cat,Ajuntament de Viladecans,Baix Llobregat,41.30996,2.00768
Servei d'informació i atenció a les dones (SIAD) de Vilafranca del Penedès,"Plaça Penedès, 3, 2n pis, 8720, Vilafranca del Penedès",Vilafranca del Penedès,938903218,casaligualtat@vilafranca.org,Ajuntament de Vilafranca del Penedès,Alt Penedès,41.34404,1.69945
Servei d'informació i atenció a les dones (SIAD) de Vilanova i la Geltrú,"Plaça de la Vila, 8, 8800, Vilanova i la Geltrú",Vilanova i la Geltrú,938169002,equitat@vilanova.cat,Ajuntament de Vilanova i la Geltrú,Garraf,41.22408,1.72594
Servei d'informació i atenció a les dones (SIAD) de Vilassar de Mar,"Carrer Santa Eulàlia, 40, 8340, Vilassar de Mar",Vilassar de Mar,937540500,diad@vilassardemar.cat,Ajuntament de Vilassar de Mar,Maresme,41.50422,2.38684
Servei d'informació i atenció a les dones (SIAD) del Vendrell,"Carrer Quarter, 4, 43700, El Vendrell",El Vendrell,977181066,pcandalija@elvendrell.net,Ajuntament del Vendrell,Baix Penedès,41.21687,1.53399
Servei d'informació i atenció a les dones (SIAD) de l'Alt Camp,"Carrer Mossèn Martí, 3, 43800, Valls",Valls,977604258,benestarsocial@altcamp.cat,Consell Comarcal de l'Alt Camp,Alt Camp,41.2886,1.24979
Servei d'informació i atenció a les dones (SIAD) de l'Alt Empordà,"Carrer Nou, 48, 17600, Figueres",Figueres,972677050,siad@altemporda.org,Consell Comarcal de l'Alt Empordà,Alt Empordà,42.26484,2.96358
Servei d'informació i atenció a les dones (SIAD) de l'Alt Penedès,"Carrer Hermenegild Clascar, 1-3, 8720, Vilafranca del Penedès",Vilafranca del Penedès,938900000,ssocials@ccapenedes.cat,Consell Comarcal de l'Alt Penedès,Alt Penedès,41.34598,1.69626
Servei d'informació i atenció a les dones (SIAD) de l'Alt Urgell,"Plaça de Soldevila, 1, 1a (Centre Cívic del Passeig), 25700, La Seu d'Urgell",La Seu d'Urgell,973354102,igualtat@capau.cat,Consell Comarcal de l'Alt Urgell,Alt Urgell,42.35821,1.46148
Servei d'informació i atenció a les dones (SIAD) de l'Alta Ribagorça,"Carrer d'Aigüestortes, 12, baixos, 25520, El Pont de Suert",El Pont de Suert,973690260,dones@ccar.ddl.net,Consell Comarcal de l'Alta Ribagorça,Alta Ribagorça,42.4123,0.74075
Servei d'informació i atenció a les dones (SIAD) de l'Anoia,"Plaça de Sant Miquel, 5, 8700, Igualada",Igualada,938051585,igualtat@anoia.cat,Consell Comarcal de l'Anoia,Anoia,41.57801,1.61784
Servei d'informació i atenció a les dones (SIAD) de l'Urgell,"Carrer d'Agoders, 16, 25300, Tàrrega",Tàrrega,973500707,siad@urgell.cat,Consell Comarcal de l'Urgell,Urgell,41.64676,1.14045
Servei d'informació i atenció a les dones (SIAD) de la Cerdanya,"Carrer d'Alfons I, 50-52, baixos, 17520, Puigcerdà",Puigcerdà,972141313,siad@cerdanya.org,Consell Comarcal de la Cerdanya,Cerdanya,42.43382,1.9293
Servei d'informació i atenció a les dones (SIAD) de la Conca de Barberà,"Carrer Sant Josep, 18, 43400, Montblanc",Montblanc,977861232,siad@concadebarbera.cat,Consell Comarcal de la Conca de Barberà,Conca de Barberà,41.37703,1.16283
Servei d'informació i atenció a les dones (SIAD) de la Noguera,"Passeig d'Àngel Guimerà, 28-30, 25600, Balaguer",Balaguer,973448933,siad@ccnoguera.cat,Consell Comarcal de la Noguera,Noguera,41.78568,0.80434
Servei d'informació i atenció a les dones (SIAD) de la Ribera d'Ebre,"Plaça Sant Roc, 2, 43740, Móra d'Ebre",Móra d'Ebre,977401851,acciosocial@riberaebre.org,Consell Comarcal de la Ribera d'Ebre,Ribera d'Ebre,41.09136,0.6432
Servei d'informació i atenció a les dones (SIAD) de la Segarra,"Passeig de Jaume Balmes, 3, 25200, Cervera",Cervera,973531300,siad@ccsegarra.cat,Consell Comarcal de la Segarra,Segarra,41.67107,1.27507
Servei d'informació i atenció a les dones (SIAD) de la Selva,"Carrer del Prat, 1, 1r, 17430, Santa Coloma de Farners",Santa Coloma de Farners,872973003,siad@selva.cat,Consell Comarcal de la Selva,Selva,41.8645,2.66243
Servei d'informació i atenció a les dones (SIAD) de la Terra Alta,"Carrer Bassa d'en Gaire, 1, 43780, Gandesa",Gandesa,977420018,siad@terra-alta.org,Consell Comarcal de la Terra Alta,Terra Alta,42.43243,1.92884
Servei d'informació i atenció a les dones (SIAD) de les Garrigues,"Avinguda de Francesc Macià, 54, 25400, Les Borges Blanques",Les Borges Blanques,973142658,siad@garrigues.cat,Consell Comarcal de les Garrigues,Garrigues,41.51327,0.8765
Servei d'informació i atenció a les dones (SIAD) del Bages,"Muralla Sant Domènec, 24, 8241, Manresa",Manresa,936930363,dona@ccbages.cat,Consell Comarcal del Bages,Bages,182187,1.82187
Servei d'informació i atenció a les dones (SIAD) del Baix Camp,"Carrer Doctor Ferran, 8, 43202, Reus",Reus,977327155,siad@baixcamp.cat,Consell Comarcal del Baix Camp,Baix Camp,41.15444,1.10132
Servei d'informació i atenció a les dones (SIAD) del Baix Ebre,"Carrer Barcelona, 152, 43500, Tortosa",Tortosa,977445308,siad@baixebre.cat,Consell Comarcal del Baix Ebre,Baix Ebre,40.7949,0.52375
Servei d'informació i atenció a les dones (SIAD) del Baix Empordà,"Plaça Joan Carreras i Dagas, 1, 17100, La Bisbal d'Empordà",La Bisbal d'Empordà,972642310,siad@baixemporda.cat,Consell Comarcal del Baix Empordà,Baix Empordà,41.95793,3.03848
Servei d'informació i atenció a les dones (SIAD) del Baix Llobregat,"Carretera Nacional - 340, 8980, Sant Feliu de Llobregat",Sant Feliu de Llobregat,936852400,conselldones@elbaixllobregat.cat,Consell Comarcal del Baix Llobregat,Baix Llobregat,41.38607,2.04027
Servei d'informació i atenció a les dones (SIAD) del Baix Penedès,"Plaça Pep Jai, 2, baixos, 43700, El Vendrell",El Vendrell,977157177,ssespecialitzats@baixpenedes.cat,Consell Comarcal del Baix Penedès,Baix Penedès,41.22292,1.53482
Servei d'informació i atenció a les dones (SIAD) del Berguedà,"Carrer Voltes de Claris, 12, 8600, Berga",Berga,938213553,igualtat@ccbergueda.cat,Consell Comarcal del Berguedà,Berguedà,42.10439,1.84699
Servei d'informació i atenció a les dones (SIAD) del Garraf,"Plaça de Beatriu de Claramunt, 5-8, 8800, Vilanova i la Geltrú",Vilanova i la Geltrú,938100410,siad@ccgarraf.cat,Consell Comarcal del Garraf,Garraf,41.22305,1.71411
Servei d'informació i atenció a les dones (SIAD) del Gironès,"Riera del mus, 1-A, 17003, Girona",Girona,972201962,siad@girones.cat,Consell Comarcal del Gironès,Gironès,41.96307,2.8149
Servei d'informació i atenció a les dones (SIAD) del Maresme,"Plaça Miquel Biada, 1, 8301, Mataró",Mataró,937411622,siadmaresme@ccmaresme.cat,Consell Comarcal del Maresme,Maresme,41.53797,2.43819
